DayOfWeek,Hour,Minute,Requests, Requests Length
6,0,1,42.0,210000
6,0,2,61.0,305000
6,0,3,57.0,285000
6,0,4,71.0,355000
6,0,5,70.0,350000
6,0,6,54.0,270000
6,0,7,52.0,260000
6,0,8,68.0,340000
6,0,9,47.0,235000
6,0,10,46.0,230000
6,0,11,51.0,255000
6,0,12,71.0,355000
6,0,13,56.0,280000
6,0,14,44.0,220000
6,0,15,20.0,100000
6,0,16,5.0,25000
6,0,17,82.0,410000
6,0,18,52.0,260000
6,0,19,63.0,315000
6,0,20,80.0,400000
6,0,21,80.0,400000
6,0,22,66.0,330000
6,0,23,58.0,290000
6,0,24,62.0,310000
6,0,25,53.0,265000
6,0,26,62.0,310000
6,0,27,74.0,370000
6,0,28,85.0,425000
6,0,29,68.0,340000
6,0,30,55.0,275000
6,0,31,65.0,325000
6,0,32,48.0,240000
6,0,33,65.0,325000
6,0,34,71.0,355000
6,0,35,77.0,385000
6,0,36,69.0,345000
6,0,37,59.0,295000
6,0,38,67.0,335000
6,0,39,87.0,435000
6,0,40,79.0,395000
6,0,41,62.0,310000
6,0,42,72.0,360000
6,0,43,67.0,335000
6,0,44,65.0,325000
6,0,45,53.0,265000
6,0,46,42.0,210000
6,0,47,50.0,250000
6,0,48,23.0,115000
6,0,49,42.0,210000
6,0,50,48.0,240000
6,0,51,57.0,285000
6,0,52,79.0,395000
6,0,53,59.0,295000
6,0,54,63.0,315000
6,0,55,55.0,275000
6,0,56,75.0,375000
6,0,57,61.0,305000
6,0,58,64.0,320000
6,0,59,50.0,250000
6,1,0,36.0,180000
6,1,1,56.0,280000
6,1,2,37.0,185000
6,1,3,49.0,245000
6,1,4,30.0,150000
6,1,5,69.0,345000
6,1,6,55.0,275000
6,1,7,60.0,300000
6,1,8,40.0,200000
6,1,9,42.0,210000
6,1,10,56.0,280000
6,1,11,59.0,295000
6,1,12,60.0,300000
6,1,13,46.0,230000
6,1,14,49.0,245000
6,1,15,42.0,210000
6,1,16,55.0,275000
6,1,17,49.0,245000
6,1,18,36.0,180000
6,1,19,45.0,225000
6,1,20,29.0,145000
6,1,21,45.0,225000
6,1,22,50.0,250000
6,1,23,57.0,285000
6,1,24,58.0,290000
6,1,25,57.0,285000
6,1,26,61.0,305000
6,1,27,44.0,220000
6,1,28,27.0,135000
6,1,29,36.0,180000
6,1,30,30.0,150000
6,1,31,54.0,270000
6,1,32,60.0,300000
6,1,33,52.0,260000
6,1,34,35.0,175000
6,1,35,33.0,165000
6,1,36,63.0,315000
6,1,37,60.0,300000
6,1,38,56.0,280000
6,1,39,50.0,250000
6,1,40,46.0,230000
6,1,41,54.0,270000
6,1,42,70.0,350000
6,1,43,61.0,305000
6,1,44,66.0,330000
6,1,45,73.0,365000
6,1,46,50.0,250000
6,1,47,33.0,165000
6,1,48,47.0,235000
6,1,49,65.0,325000
6,1,50,51.0,255000
6,1,51,39.0,195000
6,1,52,54.0,270000
6,1,53,53.0,265000
6,1,54,49.0,245000
6,1,55,51.0,255000
6,1,56,54.0,270000
6,1,57,61.0,305000
6,1,58,53.0,265000
6,1,59,36.0,180000
6,2,0,46.0,230000
6,2,1,46.0,230000
6,2,2,65.0,325000
6,2,3,50.0,250000
6,2,4,43.0,215000
6,2,5,53.0,265000
6,2,6,49.0,245000
6,2,7,23.0,115000
6,2,8,56.0,280000
6,2,9,46.0,230000
6,2,10,42.0,210000
6,2,11,44.0,220000
6,2,12,40.0,200000
6,2,13,52.0,260000
6,2,14,34.0,170000
6,2,15,54.0,270000
6,2,16,49.0,245000
6,2,17,44.0,220000
6,2,18,30.0,150000
6,2,19,12.0,60000
6,2,20,35.0,175000
6,2,21,23.0,115000
6,2,22,20.0,100000
6,2,23,33.0,165000
6,2,24,67.0,335000
6,2,25,35.0,175000
6,2,26,50.0,250000
6,2,27,46.0,230000
6,2,28,27.0,135000
6,2,29,35.0,175000
6,2,30,32.0,160000
6,2,31,27.0,135000
6,2,32,29.0,145000
6,2,33,46.0,230000
6,2,34,28.0,140000
6,2,35,24.0,120000
6,2,36,47.0,235000
6,2,37,30.0,150000
6,2,38,30.0,150000
6,2,39,34.0,170000
6,2,40,38.0,190000
6,2,41,36.0,180000
6,2,42,34.0,170000
6,2,43,47.0,235000
6,2,44,36.0,180000
6,2,45,48.0,240000
6,2,46,27.0,135000
6,2,47,31.0,155000
6,2,48,30.0,150000
